,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,index,MIN(P.MED_TOT_BIBL_PERIODICO_NAC),MAX(P.MED_TOT_BIBL_PERIODICO_NAC),MIN(P.MED_TOT_BIBL_PERIODICO_INT),MAX(P.MED_TOT_BIBL_PERIODICO_INT),MIN(P.MED_TOT_BIBL_TRABALHO),MAX(P.MED_TOT_BIBL_TRABALHO),MIN(P.MED_TOT_BIBL_LIVRO),MAX(P.MED_TOT_BIBL_LIVRO),MIN(P.MED_TOT_BIBL_CAPITULO_LIVRO),MAX(P.MED_TOT_BIBL_CAPITULO_LIVRO),MIN(P.MED_TOT_BIBL_OUTROS),MAX(P.MED_TOT_BIBL_OUTROS),MIN(P.MED_TOT_BIBL_RESUMO_REVISTA),MAX(P.MED_TOT_BIBL_RESUMO_REVISTA),MIN(P.MED_TOT_BIBL_RESUMO_ANAIS),MAX(P.MED_TOT_BIBL_RESUMO_ANAIS),MIN(P.MED_TOT_BIBL),MAX(P.MED_TOT_BIBL),MIN(P.MED_TOT_ORIE_DOUTORADO_CONC),MAX(P.MED_TOT_ORIE_DOUTORADO_CONC),MIN(P.MED_TOT_ORIE_MESTRADO_CONC),MAX(P.MED_TOT_ORIE_MESTRADO_CONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MIN(P.MED_TOT_ORIE_GRADUACAO_CONC),MAX(P.MED_TOT_ORIE_GRADUACAO_CONC),MIN(P.MED_TOT_ORIE_INICIACAO_CONC),MAX(P.MED_TOT_ORIE_INICIACAO_CONC),MIN(P.MED_TOT_ORIE_DOUTORADO_NCONC),MAX(P.MED_TOT_ORIE_DOUTORADO_NCONC),MIN(P.MED_TOT_ORIE_MESTRADO_NCONC),MAX(P.MED_TOT_ORIE_MESTRADO_NCONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MIN(P.MED_TOT_ORIE_GRADUACAO_NCONC),MAX(P.MED_TOT_ORIE_GRADUACAO_NCONC),MIN(P.MED_TOT_ORIE_INICIACAO_NCONC),MAX(P.MED_TOT_ORIE_INICIACAO_NCONC),MIN(P.MED_TOT_ORIE_CONC),MAX(P.MED_TOT_ORIE_CONC),MIN(P.MED_TOT_ORIE_NCONC),MAX(P.MED_TOT_ORIE_NCONC),MIN(P.MED_TOT_DEMAIS),MAX(P.MED_TOT_DEMAIS),MIN(P.MED_TOT_OUTRAS),MAX(P.MED_TOT_OUTRAS),MIN(P.MED_TOT_TECN_SOFTWARE_REG),MAX(P.MED_TOT_TECN_SOFTWARE_REG),MIN(P.MED_TOT_TECN_SOFTWARE_NREG),MAX(P.MED_TOT_TECN_SOFTWARE_NREG),MIN(P.MED_TOT_TECN_PRODUTO_NREG),MAX(P.MED_TOT_TECN_PRODUTO_NREG),MIN(P.MED_TOT_TECN_TECNICA_REG),MAX(P.MED_TOT_TECN_TECNICA_REG),MIN(P.MED_TOT_TECN_TECNICA_NREG),MAX(P.MED_TOT_TECN_TECNICA_NREG),MIN(P.MED_TOT_TECN_TRABALHO),MAX(P.MED_TOT_TECN_TRABALHO),MIN(P.MED_TOT_TECN_APRESENTACAO),MAX(P.MED_TOT_TECN_APRESENTACAO),MIN(P.MED_TOT_TECN_OUTROS),MAX(P.MED_TOT_TECN_OUTROS),MIN(P.MED_TOT_TECN),MAX(P.MED_TOT_TECN),MIN(P.MED_TOT_ARTISTICA),MAX(P.MED_TOT_ARTISTICA)
10,Ciências Biológicas,Botânica,2885.0,0.0,2.5,0.0,2.0,0.0,1.25,0.0,0.25,0.0,1.0,0.0,3.25,0.0,0.0,0.0,8.0,0.75,17.75,0.0,0.25,0.0,1.25,0.0,0.5,0.0,2.0,0.0,2.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.0,0.0,2.0,0.75,14.75,0.75,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0
11,Ciências Biológicas,Ecologia,3028.0,0.0,2.5,0.0,2.25,0.0,2.25,0.0,0.25,0.0,1.5,0.0,3.5,0.0,0.0,0.0,8.5,0.3333,16.0,0.0,0.25,0.0,1.25,0.0,0.75,0.0,3.75,0.0,2.5,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.25,0.0,6.25,0.0,2.0,0.25,15.0,0.25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.25,0.0,3.25,0.0,8.25,0.0,0.0
12,Ciências Biológicas,Farmacologia,2860.5,0.0,2.5,0.0,5.75,0.0,1.0,0.0,0.25,0.0,0.875,0.0,2.125,0.0,0.25,0.0,11.25,0.75,18.75,0.0,0.5,0.0,1.5,0.0,1.0,0.0,2.375,0.0,2.75,0.0,0.875,0.0,0.875,0.0,0.0,0.0,0.25,0.0,1.25,0.0,5.75,0.0,2.375,0.41664999999999996,15.875,0.41664999999999996,15.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,3.875,0.0,2.625,0.0,7.375,0.0,0.0
13,Ciências Biológicas,Fisiologia,3030.0,0.0,1.75,0.0,4.25,0.0,1.25,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.25,0.0,9.5,1.0,19.5,0.0,0.75,0.0,1.5,0.0,0.5,0.0,1.5,0.0,2.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,0.0,4.25,0.0,1.75,0.75,13.25,0.75,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.75,0.0,2.25,0.0,5.5,0.0,0.0
14,Ciências Biológicas,Genética,2808.5,0.0,2.5,0.0,4.875,0.0,2.0,0.0,0.25,0.0,1.5,0.0,3.75,0.0,0.125,0.0,13.0,0.875,23.75,0.0,0.5,0.0,1.5,0.0,0.75,0.0,2.375,0.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.75,0.0,2.25,0.5,17.625,0.5,17.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,0.0,3.5,0.0,3.5,0.0,9.5,0.0,0.0
15,Ciências Biológicas,Imunologia,2604.0,0.0,2.0,0.0,4.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.25,0.0,10.25,1.0,17.5,0.0,0.75,0.0,1.25,0.0,0.75,0.0,1.75,0.0,2.25,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,0.0,4.5,0.0,1.75,0.5,17.25,0.5,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.5,0.0,3.75,0.0,8.5,0.0,0.0
16,Ciências Biológicas,Microbiologia,2497.0,0.0,2.5,0.0,2.75,0.0,1.75,0.0,0.0,0.0,0.75,0.0,3.25,0.0,0.0,0.0,8.25,1.0,17.25,0.0,0.3333,0.0,1.5,0.0,1.0,0.0,2.25,0.0,2.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.0,5.75,0.0,2.0,0.5,15.25,0.5,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.5,0.0,2.5,0.0,6.0,0.0,0.0
17,Ciências Biológicas,Morfologia,3034.0,0.0,2.0,0.0,3.0,0.0,1.25,0.0,0.25,0.0,0.75,0.0,2.25,0.0,0.25,0.0,8.5,1.0,16.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.5,0.0,2.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75,0.0,2.0,1.0,16.25,1.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.75,0.0,7.25,0.0,0.0
18,Ciências Biológicas,Parasitologia,2711.0,0.0,2.0,0.0,3.75,0.0,1.0,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.0,0.0,9.0,1.0,16.5,0.0,0.25,0.0,1.25,0.0,0.5,0.0,1.75,0.0,2.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75,0.0,2.25,0.3333,13.75,0.3333,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.25,0.0,2.25,0.0,6.25,0.0,0.0
19,Ciências Biológicas,Zoologia,2749.0,0.0,2.25,0.0,3.0,0.0,1.0,0.0,0.25,0.0,1.5,0.0,3.25,0.0,0.0,0.0,9.25,1.0,17.875,0.0,0.25,0.0,1.5,0.0,0.5,0.0,2.25,0.0,2.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.125,0.0,1.875,0.5,13.625,0.5,13.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,3.0,0.0,8.0,0.0,0.0
